document,CharacterCount,WordCount,AverageWordLength,UniqueWordsCount,TypeTokenRatio,RootTypeTokenRatio,CorrectedTypeTokenRatio,AvgTreeDepth,AvgTreeScore,MLC,MLS,MLT,C_S,C_T,CT_T,DC_C,DC_T,CP_C,CP_T,T_S,CN_C,CN_T,VP_T,SentenceCount,AvgSentenceLengthInWords,AvgSentenceLengthInChars,NounVariation,VerbVariation,AdjectiveVariation,AdverbVariation,VerbVariation1,SquaredVerbVariation1,CorrectedVerbVariation1,LexicalDensity,label
Amazon-ele.txt,2094.000000,416.000000,5.033654,233.000000,0.560096,11.423765,8.077822,8.515152,-224.993295,13.054054,14.636364,17.250000,1.121212,1.321429,0.571429,0.405405,0.535714,0.351351,0.464286,0.848485,3.675676,4.857143,0.464286,33.000000,14.636364,64.666667,0.526316,0.233083,0.176692,0.063910,0.403226,10.080645,2.245066,0.550725,Elementary
Amsterdam-ele.txt,2095.000000,445.000000,4.707865,242.000000,0.543820,11.471900,8.111858,13.136364,-148.618230,10.000000,22.272727,21.304348,2.227273,2.130435,1.043478,0.489796,1.043478,0.285714,0.608696,1.045455,2.387755,5.086957,0.608696,22.000000,22.272727,95.227273,0.437956,0.332117,0.153285,0.076642,0.483516,21.274725,3.261497,0.559184,Elementary
Anita-ele.txt,2068.000000,458.000000,4.515284,268.000000,0.585153,12.522818,8.854969,10.961538,-137.675172,11.086957,19.615385,16.451613,1.769231,1.483871,0.580645,0.391304,0.580645,0.326087,0.483871,1.192308,2.608696,3.870968,0.483871,26.000000,19.615385,79.846154,0.475096,0.275862,0.187739,0.061303,0.486111,17.013889,2.916667,0.511765,Elementary
Arctic mapping-ele.txt,2220.000000,483.000000,4.596273,280.000000,0.579710,12.740441,9.008852,11.652174,-157.960392,12.186047,22.782609,20.153846,1.869565,1.653846,0.653846,0.372093,0.615385,0.325581,0.538462,1.130435,2.930233,4.846154,0.538462,23.000000,22.782609,96.521739,0.530405,0.280405,0.121622,0.067568,0.542169,24.397590,3.492677,0.564885,Elementary
Banksy-ele.txt,1821.000000,417.000000,4.366906,208.000000,0.498801,10.185804,7.202451,12.285714,-138.328716,8.862745,21.523810,19.652174,2.428571,2.217391,1.391304,0.549020,1.217391,0.098039,0.217391,1.095238,2.098039,4.652174,0.217391,21.000000,21.523810,86.714286,0.508403,0.369748,0.084034,0.037815,0.397727,13.920455,2.638224,0.526549,Elementary
Billionaires-ele.txt,1764.000000,381.000000,4.629921,205.000000,0.538058,10.502468,7.426366,13.500000,-150.036194,10.414634,23.722222,21.350000,2.277778,2.050000,1.100000,0.463415,0.950000,0.146341,0.300000,1.111111,2.756098,5.650000,0.300000,18.000000,23.722222,98.000000,0.478261,0.295652,0.156522,0.069565,0.441176,13.235294,2.572479,0.538642,Elementary
Blackberry-ele.txt,3146.000000,641.000000,4.907956,347.000000,0.541342,13.705676,9.691376,8.295455,-121.786378,10.094595,16.977273,12.879310,1.681818,1.275862,0.310345,0.202703,0.258621,0.270270,0.344828,1.318182,1.837838,2.344828,0.344828,44.000000,16.977273,72.045455,0.538084,0.250614,0.127764,0.083538,0.372549,14.156863,2.660532,0.544846,Elementary
Bolivia-ele.txt,2877.000000,586.000000,4.909556,286.000000,0.488055,11.814551,8.354149,11.935484,-143.393004,9.028169,20.677419,18.852941,2.290323,2.088235,1.029412,0.478873,1.000000,0.126761,0.264706,1.096774,2.676056,5.588235,0.264706,31.000000,20.677419,93.064516,0.494444,0.311111,0.147222,0.047222,0.410714,18.892857,3.073504,0.561622,Elementary
Bonus pay-ele.txt,1936.000000,407.000000,4.756757,218.000000,0.535627,10.805859,7.640896,12.095238,-143.892188,10.044444,21.523810,20.545455,2.142857,2.045455,1.000000,0.488889,1.000000,0.155556,0.318182,1.047619,2.800000,5.727273,0.318182,21.000000,21.523810,92.571429,0.491935,0.314516,0.137097,0.056452,0.461538,16.615385,2.882307,0.548673,Elementary
Brazil-ele.txt,2907.000000,564.000000,5.154255,326.000000,0.578014,13.727076,9.706509,10.218750,-141.115103,11.333333,20.187500,14.355556,1.781250,1.266667,0.244444,0.192982,0.244444,0.263158,0.333333,1.406250,3.245614,4.111111,0.333333,32.000000,20.187500,91.593750,0.530387,0.262431,0.149171,0.058011,0.484211,22.273684,3.337191,0.560372,Elementary
