"file_name","file_path","CharacterCount","WordCount","AverageWordLength","UniqueWordsCount","TypeTokenRatio","RootTypeTokenRatio","CorrectedTypeTokenRatio","AvgTreeDepth","AvgTreeScore","MLC","MLS","MLT","C_S","C_T","CT_T","DC_C","DC_T","CP_C","CP_T","T_S","CN_C","CN_T","VP_T","SentenceCount","AvgSentenceLengthInWords","AvgSentenceLengthInChars","NounVariation","VerbVariation","AdjectiveVariation","AdverbVariation","VerbVariation1","SquaredVerbVariation1","CorrectedVerbVariation1","LexicalDensity","label"
"4472.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\4472.txt","760.0","157.0","4.840764331210191","97.0","0.6178343949044586","7.741442779335935","5.4740266854360735","13.142857142857142","-183.62176949637276","21.625","24.714285714285715","24.714285714285715","1.1428571428571428","1.1428571428571428","0.5714285714285714","0.5","0.5714285714285714","0.5","0.5714285714285714","1.0","7.75","8.857142857142858","0.5714285714285714","7.0","24.714285714285715","110.85714285714286","0.5416666666666666","0.25","0.15625","0.052083333333333336","0.7083333333333334","12.041666666666666","2.4537386440559095","0.5549132947976878","BitGCSE"
"664.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\664.txt","2731.0","622.0","4.390675241157556","250.0","0.40192926045016075","10.024086747057819","7.088099714046784","11.75","-145.68678319454193","14.104166666666666","21.15625","16.925","1.5","1.2","0.425","0.2916666666666667","0.35","0.2916666666666667","0.35","1.25","3.6875","4.425","0.35","32.0","21.15625","85.96875","0.5233918128654971","0.3128654970760234","0.12280701754385964","0.04093567251461988","0.42990654205607476","19.77570093457944","3.144495264313451","0.5051698670605613","BitGCSE"
"4312.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\4312.txt","1151.0","247.0","4.659919028340081","149.0","0.6032388663967612","9.480642968339088","6.703826932921128","9.6875","-191.33056020736694","15.11111111111111","17.0","17.0","1.125","1.125","0.375","0.3333333333333333","0.375","0.3888888888888889","0.4375","1.0","3.2222222222222223","3.625","0.4375","16.0","17.0","72.9375","0.5","0.28289473684210525","0.1513157894736842","0.06578947368421052","0.627906976744186","16.953488372093023","2.911484876492837","0.5588235294117647","BitGCSE"
"3246.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\3246.txt","649.0","140.0","4.635714285714286","88.0","0.6285714285714286","7.437357441610946","5.259005881071332","11.88888888888889","-226.0103556315104","13.166666666666666","17.555555555555557","19.75","1.3333333333333333","1.5","0.75","0.5833333333333334","0.875","0.16666666666666666","0.25","0.8888888888888888","2.3333333333333335","3.5","0.25","9.0","17.555555555555557","74.77777777777777","0.3855421686746988","0.3253012048192771","0.18072289156626506","0.10843373493975904","0.5925925925925926","9.481481481481481","2.1773242158072694","0.5253164556962026","BitGCSE"
"4742.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\4742.txt","1932.0","419.0","4.610978520286396","226.0","0.5393794749403341","11.040822493660313","7.8070404551441746","10.933333333333334","-104.96552416483561","11.162790697674419","16.0","14.545454545454545","1.4333333333333333","1.303030303030303","0.696969696969697","0.5116279069767442","0.6666666666666666","0.13953488372093023","0.18181818181818182","1.1","1.8372093023255813","2.393939393939394","0.18181818181818182","30.0","16.0","65.46666666666667","0.4132231404958678","0.36363636363636365","0.14049586776859505","0.08264462809917356","0.4431818181818182","17.28409090909091","2.9397356096331952","0.5041666666666667","BitGCSE"
"5369.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\5369.txt","1063.0","224.0","4.745535714285714","143.0","0.6383928571428571","9.554589398369172","6.756114955039936","11.909090909090908","-155.54931779341265","14.764705882352942","22.818181818181817","22.818181818181817","1.5454545454545454","1.5454545454545454","0.8181818181818182","0.5294117647058824","0.8181818181818182","0.17647058823529413","0.2727272727272727","1.0","4.823529411764706","7.454545454545454","0.2727272727272727","11.0","22.818181818181817","98.27272727272727","0.48091603053435117","0.3053435114503817","0.17557251908396945","0.03816793893129771","0.7","19.6","3.1304951684997055","0.5219123505976095","BitGCSE"
"2080.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\2080.txt","1823.0","373.0","4.887399463806971","216.0","0.579088471849866","11.184056058495552","7.908321880132695","11.19047619047619","-189.10976936703636","16.423076923076923","20.333333333333332","21.35","1.2380952380952381","1.3","0.4","0.34615384615384615","0.45","0.5384615384615384","0.7","0.9523809523809523","5.346153846153846","6.95","0.7","21.0","20.333333333333332","89.0952380952381","0.46875","0.2857142857142857","0.1875","0.05803571428571429","0.5625","20.25","3.181980515339464","0.5245901639344263","BitGCSE"
"940.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\940.txt","1633.0","353.0","4.626062322946176","199.0","0.5637393767705382","10.591701278705754","7.489463798475065","11.31578947368421","-138.88533642417505","13.206896551724139","20.157894736842106","20.157894736842106","1.5263157894736843","1.5263157894736843","0.7368421052631579","0.4827586206896552","0.7368421052631579","0.3103448275862069","0.47368421052631576","1.0","2.9310344827586206","4.473684210526316","0.47368421052631576","19.0","20.157894736842106","86.84210526315789","0.4852941176470588","0.29901960784313725","0.12254901960784313","0.09313725490196079","0.4918032786885246","14.754098360655737","2.7160723812755556","0.5326370757180157","BitGCSE"
"6689.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\6689.txt","2222.0","465.0","4.778494623655914","192.0","0.4129032258064516","8.903786798595231","6.295928023525948","10.275862068965518","-156.0717413014379","12.6","17.379310344827587","16.8","1.3793103448275863","1.3333333333333333","0.43333333333333335","0.35","0.4666666666666667","0.325","0.43333333333333335","1.0344827586206897","4.65","6.2","0.43333333333333335","29.0","17.379310344827587","77.10344827586206","0.4731182795698925","0.3046594982078853","0.1827956989247312","0.03942652329749104","0.36470588235294116","11.305882352941177","2.3775914654268484","0.5535714285714286","BitGCSE"
"5997.txt","..\\datasets\\WeeBit\\WeeBit-TextOnly\\WeeBit-TextOnly\\BitGCSE\\5997.txt","500.0","110.0","4.545454545454546","63.0","0.5727272727272728","6.006814312247232","4.247459133518425","13.5","-140.33856201171875","13.444444444444445","20.166666666666668","20.166666666666668","1.5","1.5","0.6666666666666666","0.4444444444444444","0.6666666666666666","0.1111111111111111","0.16666666666666666","1.0","3.2222222222222223","4.833333333333333","0.16666666666666666","6.0","20.166666666666668","86.0","0.3880597014925373","0.373134328358209","0.16417910447761194","0.07462686567164178","0.52","6.76","1.8384776310850235","0.5537190082644629","BitGCSE"
